,OrderId,Companhia,Secao,Tipo_Questao,Nota,Motivo_Selecionado,Comentario,Grupo_Motivo,Classificacao_NPS
10139,2685171,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,Rapidez e facilidade para abertura do atendimento,"O serviço realizado ficou perfeito, muito qualidade envolvida",Abertura do atendimento,Promotor
10140,2634297,Azul Seguros,Funilaria Para-Choque Dianteiro,Carglass,10,Qualidade do atendimento em geral,Cliente ressalta que foi muito bem atendido.,Qualidade do atendimento,Promotor
10141,2678114,ALD Comfort,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Lucio, informou que gostou do atendimento.",Qualidade do atendimento,Promotor
10143,2676160,Bradesco Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,10,Rapidez e facilidade para abertura do atendimento,Experiência em quê?,Abertura do atendimento,Promotor
10144,2641258,HelpS - Santander,Funilaria Tampa traseira,Carglass,10,Qualidade do atendimento em geral,O serviço ficou muito bom. E o atendimento tbm.,Qualidade do atendimento,Promotor
10146,2642408,Azul Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,10,Rapidez no atendimento e serviço prestado,Entregaram o serviço antecipadamente ,Qualidade do atendimento,Promotor
10148,2666209,Azul Seguros,Funilaria Para-Choque Traseiro,Carglass,10,Qualidade do atendimento em geral,"Maravilhoso o atendimento o carinho e atenção com o veículo meu carro voltou até com cheirinho todo limpo !
Tratamento nota 10 ganhou cliente super indico !
Gratidão a todos !!",Qualidade do atendimento,Promotor
10149,2647886,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com o cliente, informou que foi rápido e pratico o atendimento.",Qualidade do atendimento,Promotor
10150,2648578,Seguros Sura,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,O responsável Juliano não teve problemas.,Qualidade do atendimento,Promotor
10151,2652504,Bradesco Seguros,Funilaria Para-Choque Traseiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Pontualidade na entrega e limpeza do veículo. ,Qualidade do atendimento,Promotor
10152,2660430,Bradesco Seguros,Funilaria Para-lama Dianteiro Direito,Carglass,10,Rapidez no atendimento e serviço prestado,"Rápido,
Pratico e de qualidade ",Qualidade do atendimento,Promotor
10153,2659612,Azul Seguros,Funilaria Porta Traseira Direita,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Cliente ressalta que deu tudo certo.,Qualidade do atendimento,Promotor
10155,2658642,Bradesco Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Excelente atendimento e rapidez.,Qualidade do atendimento,Promotor
10156,2655849,ALD Automotive,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"A cliente Tais informa que tudo tranquilo, mas não consegue acompanhar o andamento do processo, mesmo no link, havia a informação de que estava aguardando aprovação, mas não há a informação do que falta para essa aprovação, em seu caso faltava o envio de uma foto, mas não foi informado.",Qualidade do atendimento,Promotor
10157,2584775,Azul Seguros,Funilaria Para-Choque Dianteiro,Carglass,6,Falta de contato/ Falha No Acompanhamento com o cliente,"Meu serviço ficou péssimo,  eu tive que entrar em contato e mandar provas, e comparecer novamente no prestador para tirar fotos e fui discriminada pelo prestador com palavras ofensivas, não deviam deixar isso para o cliente!",Liberação,Detrator
10158,2739339,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,1,Localização de lojas não atendeu minha necessidade,"Me mandaram para uma loja a 20 km da minha residência,  sendo que a 3km tinha uma loja perto da minha casa.
Também tive que esperar 5 dias para a troca do vidro. O ideal que pelo menos dois dias tivesse agenda para a troca. ",Capilaridade de rede,Detrator
10159,2585010,Bradesco Seguros,Farol Esquerdo/Motorista Led,Carglass,6,Demora/Atraso para disponibilizar a peça,O cliente José Eduardo informa que demorou a chegada da peça.,Peça,Detrator
10162,2586217,Bradesco Seguros,Lente de Retrovisor Esquerdo/Motorista,Carglass,1,Demora/Dificuldade com a central de atendimento,"Muito ruim.um absurdo,  13 dias pra trocar  um vidro do retrovisor. Esse seguro é pessimo",Abertura do atendimento,Detrator
10163,2586345,ALD Comfort,Parabrisa,Carglass,6,Indisponibilidade de loja na região,"Loja determinada para o reparo bem distante da minha residência. Como o veículo dormiu na loja de um dia para o outro, os custos com transporte de ida/ volta para deixar/ retirar o veículo foram altos.",Capilaridade de rede,Detrator
10164,2731687,Bradesco Seguros,Retrovisor Esquerdo/Motorista,Carglass,1,Marca da peça utilizada,Meu retrovisor está com defeito e não encontro local para comunicar isto oficialmente.,Comercial/Produtos,Detrator
10166,2586995,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,5,Agenda não atende a necessidade do cliente,A loja não fez o serviço completo,Liberação,Detrator
10167,2587078,Bradesco Seguros,Parabrisa,Carglass,1,Agenda não atende a necessidade do cliente,Eu que tive que encontrar o prestador para me ajudar no prazo que precisei ,Liberação,Detrator
10168,2731013,Bradesco Seguros,Parabrisa,Carglass,0,Marca da peça utilizada,"serviço mal feito cola preta ficou tudo aparecendo péssimo serviço de colocação de vidros ,mas não foi feito por car Glass ...foi feito por point Glass ...",Comercial/Produtos,Detrator
10169,2730795,Bradesco Seguros,Tampa traseira,Carglass,1,Localização de lojas não atendeu minha necessidade,O serviço prestado da oficina como martelinho de foi negativa. O trabalho realizado ficou muito ruim.,Capilaridade de rede,Detrator
10170,2587396,Seguros Sura,Parabrisa,Carglass,5,Atraso na liberação do atendimento,"cliente informa que houve uma demora muito grande de resposta o pedido foi aberto dia 06/01 e ele so conseguiu trocar no dia 15/01, estava agendado para o dia 13/01 mas o vidro chegou errado e teve que aguardar mais 2 dias. ",Liberação,Detrator
10171,2587478,Porto Seguro,Funilaria Porta Dianteira Direita,Carglass,1,Demora para agendamento,Até o momento não tive retorno sobre o agendamento,Liberação,Detrator
10172,2587777,Bradesco Seguros,Retrovisor Direito/Passageiro,Carglass,5,Demora para agendamento,"Erro da peça, demora para o agendamento, informações por WhatsApp desencontradas.",Liberação,Detrator
10173,2728765,Seguros Sura,Parabrisa,Carglass,5,Qualidade ou problemas/dificuldade com site para abertura do atendimento,O agendamento foi feito com uma loja e depois cancelado e passado para outra. Cheguei no endereço inicial e o agendamento havia sido cancelado. Por sorte o prestador de serviço foi super atencioso e resolveu. ,Abertura do atendimento,Detrator
10174,2728603,Bradesco Seguros,Reparo (1 Ponto),Carglass,5,Indisponibilidade de loja na região,"Jundiai merecia uma loja com melhor estrutura por parte da carglass, muito simples a estrutura da loja",Capilaridade de rede,Detrator
10175,2588162,Bradesco Seguros,Retrovisor Esquerdo/Motorista,Carglass,5,Demora para agendamento,Fiquei com o carro parado um mês por falta do retrovisor ,Liberação,Detrator
10176,2588344,Bradesco Seguros,Parabrisa,Carglass,2,Falta de contato/ Falha No Acompanhamento com o cliente,"As carenagem do vidro voltaram todas soltas , a água que limpa o vidro não está funcionando sendo que estava funcionando normalmente. ",Liberação,Detrator
10179,2588763,Bradesco Seguros,Parabrisa,Carglass,2,Falta de contato/ Falha No Acompanhamento com o cliente,"A Agenda não foi repassada ao Prestador de Serviço. 
O atendimento foi feito por encaixe de Agenda ",Liberação,Detrator
10180,2727018,Positron,Reparo (1 Ponto),Carglass,4,Falta de contato/ Falha No Acompanhamento com o cliente,"Venho expressar minha insatisfação com o atendimento prestado pela loja Santo Glass Auto Vidros, credenciada Carglass. Avenida Artur de Queirós, 275 Bairro Casa Branca - Santo André-SP.
Ao procurar a loja e informar que o serviço de reparo do para-brisa seria realizado por meio da seguradora, fui prontamente informado de que, caso fosse um serviço particular (pago diretamente por mim), haveria disponibilidade imediata. No entanto, após a emissão da ordem de serviço pela seguradora, a loja se recusou a realizar o atendimento, alegando indisponibilidade para os atendentes. 
Considero essa conduta inaceitável e desrespeitosa, uma vez que o mesmo serviço seria executado, independentemente da forma de pagamento. É decepcionante ver uma loja credenciada adotando esse tipo de postura, que demonstra falta de comprometimento com o cliente e com os acordos firmados com a seguradora.",Liberação,Detrator
10181,2589548,Bradesco Seguros,Funilaria Para-Choque Dianteiro Esquerdo/Motorista,Carglass,1,Agenda não atende a necessidade do cliente,"Agendei o atendimento via whatsapp com a Carglass+seguradora, e ao chegar na oficina disseram que estavam lotados",Liberação,Detrator
10182,2726171,Bradesco Seguros,Parabrisa,Carglass,0,Qualidade atendimento telefônico,Deixaram o braço do limpador de parabrisa solto danificando o mesmo ,Qualidade do atendimento,Detrator
10183,2589573,Bradesco Seguros,Capô,Carglass,1,Marca da peça utilizada,O Serviço não ficou bom,Comercial/Produtos,Detrator
10184,2589982,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,4,Falta de contato/ Falha No Acompanhamento com o cliente,"Cliente informou que o atendimento foi muito complicado, teve que mandar mensagem, ficar esperando um retorno, teve que ficar ligando cobrando um retorno, as tratativas foram todas por mensagem, e só depois que ligou que foi resolvido, e ainda assim, o retorno foi por mensagem, ele não falou com uma pessoa. Cliente achou um absurdo ter que ficar ligando, seja para cobrar retorno ou ter que entrar em contato com a oficina, o invés de receber um retorno ou contato da nossa parte.",Liberação,Detrator
10185,2724134,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,0,Agenda não atende a necessidade do cliente,"Em contato com o cliente informou que ,foi agendado ir no local as 8 da manhã mais só  abre as 9 hs e atendente pediu que cliente  entrasse em contato com a loja e verificar  (o mesmo sentiu como se jogasse o problema pra mim ) e  que teve esse  transtorno , em contato com a  loja  a mesma já sinalizou a Carglass ,pois o problema é recorrente de enviar os clientes nesse  horário das 8hs.
",Liberação,Detrator
10186,2723465,Bradesco Seguros,Parabrisa,Carglass,5,Falta de contato/ Falha No Acompanhamento com o cliente,"Bom dia na retirada do veículo o pessoal estava na frente da loja, fiquei um bom tempo esperando, até que saiu uma moça da recepção e me atendeu, outro fato é que está fazendo barulho no parabrisa parece que está esfregando vidro com vidro, espero que este barulho para senão irei até a loja para resolver o problema sendo que o carro não tinha este barulho ",Liberação,Detrator
10187,2723392,Bradesco Seguros,Reparo (1 Ponto),Carglass,5,Demora/Divergência de informações no momento do atendimento,"Em contato com Adriana, ela informou que não deram suporte e não respondiam as questões dela,  pediu um reparo do para- brisa e foi 
solicitado a troca sendo que dava para reparar e no final foi feito somente o reparo.",Liberação,Detrator
10188,2591187,PSA,Funilaria Porta Traseira Direita,Carglass,4,Agenda não atende a necessidade do cliente,Gostaria de contato com a carglass para falar mais sobre procedimento e serviços.,Liberação,Detrator
10189,2723278,Porto Seguro,Funilaria Para-Choque Traseiro,Carglass,1,Falta de contato/ Falha No Acompanhamento com o cliente,"Informações incompletas, demora, tudo de ruim",Liberação,Detrator
10190,2591481,Bradesco Seguros,Parabrisa,Carglass,4,Indisponibilidade de loja na região,Local de atendimento da manutenção Pessimo. Muito tempo de espera ,Capilaridade de rede,Detrator
10192,2592064,Bradesco Seguros,Vidro Lateral Direito/Passageiro,Carglass,0,Atraso na liberação do atendimento,"cliente informa que houve uma demora de 7 dias para resolver o problema, o cliente informa que abriu o atendimento via site e ficou aguardando retorno após enviar as fotos da vistoria entrou varias vezes no site e deixou o contato para entrarem em contato com ele e ninguém retornou, depois de 5 dias foi que deram uma posição com a data de agendamento após 2 dias. cliente informa que o corretor passou a informação que esse é um problema crônico da Carglass com todos os clientes. ",Liberação,Detrator
10193,2592214,HelpS - Santander,Funilaria Tampa traseira,Carglass,5,Atraso na liberação do atendimento,"Em contato com Flavio, informou que não gostou do atendimento demorou a liberação e vai cancelar. ",Liberação,Detrator
10195,2721494,Azul Seguros,Porta Dianteira Esquerda/Motorista,Carglass,0,Agenda não atende a necessidade do cliente,Decepcionante meu carro demorou devido seu prestador de serviço não ter feito um check list que presta quando fui pegar o carro o para choque traseiro Tava desalinhado vcs demoram uma semana e não resolveu tenho fotos e filmagens como meu carro está na frente da oficina o mesmo está todo contaminado por tinta vai ter que polir péssimo retorno de reclamação ,Liberação,Detrator
10196,2721492,Azul Seguros,Funilaria Para-Choque Dianteiro,Carglass,0,Agenda não atende a necessidade do cliente,Meu carro voltou todo impregnado de Puera de tinta vai ter que pulir o carro todo para-choque voltou solto mal atendimento ruim de retorno se soubesse que seria desse jeito nunca teria levado meu carro para lama dianteiro voltou com ralado muito desepcionante essa experiência ,Liberação,Detrator
10197,2592802,Bradesco Seguros,Vidro Lateral Esquerdo/Motorista,Carglass,4,Demora para agendamento,"Pedi urgência pq uso o carro e estava em dias chuvosos , demoraram pra retornar , eu que liguei pra ver o que estava acontecendo , me informaram que não tinha produto nos lugares que tinham pesquisado , e eu que falei da atendente onde tinha o produto .",Liberação,Detrator
10198,2592819,Bradesco Seguros,Parabrisa,Carglass,3,Demora/Dificuldade com a central de atendimento,Praticamente uma semana para ter algum tipo de resposta. Neste periodo acabei sendo notificado por causa da trinca no meu parabrisa.,Abertura do atendimento,Detrator
10199,2593138,Azul Seguros,Funilaria Coluna Traseira Direita,Carglass,6,Qualidade do serviço técnico deixou a desejar (qualidade ruim ou serviço incompleto),Serviço ficou com bolhas e vai ligar na loja para reagendar o retorno. ,Qualidade do serviço executado,Detrator
10200,2720656,Bradesco Seguros,Lanterna Traseira Direita/Passageiro Led,Carglass,5,Divergência/Valor elevado de franquia,"Recebi msg da loja que o serviço ficaria R$ 715,00 (tenho o print da conversa), na hora do pagamento foi cobrado o valor cheio da franquia R$ 868,00.",Comercial/Produtos,Detrator
